;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
372;1886109,588;1856773,808;1853388,75;1849970,614;1846518,488;1843031,42;1839508,411;1835948,416;1832350,338;1828713,022;1825035,258;1821315,77;1817237,134
373;1888471,369;1859165,684;1855810,185;1852422,403;1849001,462;1845546,448;1842056,403;1838530,323;1834967,156;1831365,799;1827725,091;1824043,813;1820320,682
374;1890833,264;1861556,811;1858230,425;1854872,528;1851482,279;1848058,799;1844601,167;1841108,421;1837579,551;1834013,502;1830409,162;1826765,365;1823080,886
375;1893195,308;1863947,241;1860649,534;1857321,065;1853961,025;1850568,57;1847142,814;1843682,836;1840187,666;1836656,293;1833087,652;1829480,63;1825834,053
376;1895557,535;1866337,027;1863067,574;1859768,086;1856437,784;1853075,856;1849681,455;1846253,692;1842791,64;1839294,328;1835760,737;1832189,801;1828580,399
377;1897919,979;1868726,222;1865484,606;1862213,66;1858912,636;1855580,753;1852217,195;1848821,11;1845391,609;1841927,759;1838428,587;1834893,069;1831320,135
378;1900282,673;1871114,874;1867900,689;1864657,859;1861385,663;1858083,35;1854750,137;1851385,206;1847987,703;1844556,734;1841091,365;1837590,618;1834053,466
379;1902645,649;1873503,033;1870315,88;1867100,747;1863856,94;1860583,736;1857280,383;1853946,095;1850580,051;1847181,396;1843749,233;1840282,624;1836780,589
380;1905008,938;1875890,747;1872730,237;1869542,391;1866326,543;1863081,997;1859808,03;1856503,886;1853168,778;1849801,883;1846402,344;1842969,261;1839501,696
381;1907372,572;1878278,063;1875143,814;1871982,856;1868794,547;1865578,218;1862333,173;1859058,687;1855754,002;1852418,331;1849050,85;1845650,696;1842216,972
382;1909736,58;1880665,026;1877556,664;1874422,202;1871261,022;1868072,48;1864855,906;1861610,602;1858335,843;1855030,871;1851694,896;1848327,091;1844926,596
383;1912100,992;1883051,681;1879968,841;1876860,492;1873726,039;1870564,862;1867376,317;1864159,734;1860914,414;1857639,63;1854334,624;1850998,604;1847630,744
384;1914465,838;1885438,072;1882380,395;1879297,784;1876189,666;1873055,444;1869894,497;1866706,182;1863489,826;1860244,733;1856970,173;1853665,387;1850329,585
385;1916831,146;1887824,241;1884791,377;1881734,137;1878651,969;1875544,299;1872410,53;1869250,041;1866062,187;1862846,298;1859601,675;1856327,589;1853023,281
386;1919196,943;1890210,23;1887201,835;1884169,607;1881113,014;1878031,503;1874924,499;1871791,406;1868631,602;1865444,445;1862229,261;1858985,354;1855711,993
